Model,first_layer_number_of_filters,bottleneck_size,batch_size,epochs,validation roc_auc_score
0,4,64,64,25,0.9999769585253456
1,64,8,8,25,1.0
10,128,128,32,55,1.0
11,16,8,128,20,0.9996543778801843
12,4,4,64,25,0.9976728110599079
13,4,128,64,5,0.7238018433179723
14,32,128,16,85,1.0
15,64,32,16,80,1.0
16,4,32,16,70,0.9998617511520738
17,64,4,8,40,1.0
18,8,4,32,10,0.998663594470046
19,64,64,32,25,0.9999769585253456
2,16,128,128,80,0.9999769585253456
20,16,8,8,55,1.0
21,64,64,128,15,0.9966589861751153
22,8,8,32,10,0.9983410138248848
23,64,64,64,50,0.9999539170506913
24,8,64,8,90,1.0
25,64,4,32,15,1.0
26,32,64,128,70,0.9999539170506913
27,128,32,8,70,0.9999078341013825
28,32,128,64,45,1.0
29,64,8,32,90,1.0
3,16,16,16,10,0.9999539170506913
30,16,32,128,55,0.9999539170506913
31,8,4,32,85,0.9999769585253456
32,4,16,32,10,0.9983640552995392
33,16,64,16,25,0.9999308755760369
34,16,32,128,65,0.9999769585253456
35,32,64,16,60,1.0
36,4,16,16,60,0.9999078341013824
37,128,8,64,65,1.0
38,16,32,8,15,1.0
39,128,32,32,20,0.9999769585253456
4,128,32,8,45,0.9999769585253456
40,32,128,64,60,0.9999539170506913
41,32,64,64,5,0.8840783410138249
42,16,64,64,60,0.9999769585253456
43,8,16,32,85,0.9998847926267281
44,4,8,32,30,0.9999308755760369
45,128,4,32,40,1.0
46,16,4,8,40,1.0
47,128,128,16,40,1.0
48,128,8,16,30,1.0
49,16,8,8,65,1.0
5,128,16,128,65,1.0
50,64,128,32,55,1.0
51,64,4,16,70,1.0
52,8,32,128,45,0.9998156682027649
53,32,128,32,45,0.9999539170506913
54,4,16,8,90,0.9999769585253456
55,64,4,16,70,1.0
56,128,8,64,50,1.0
57,64,128,32,60,1.0
58,8,16,64,35,0.9999539170506913
59,64,128,8,45,1.0
6,16,4,16,90,1.0
60,128,16,8,65,1.0
61,64,128,16,55,1.0
62,32,64,8,20,1.0
63,16,4,32,40,0.9999769585253456
64,128,16,16,35,0.9999769585253457
65,8,8,8,25,0.9999539170506913
66,4,32,8,25,0.999884792626728
67,16,32,8,30,1.0
68,32,4,64,95,1.0
69,64,128,32,30,1.0
7,64,16,128,25,1.0
70,64,8,32,30,1.0
71,8,64,128,95,0.9999539170506913
72,8,4,16,60,1.0
73,32,64,64,50,0.9999539170506913
74,32,64,32,70,1.0
75,32,4,128,95,1.0
76,128,128,64,30,0.9999308755760368
77,128,128,16,40,0.9999769585253456
78,8,8,64,75,0.9998617511520737
79,128,4,16,55,1.0
8,32,128,128,30,1.0
80,4,4,64,85,0.9999539170506913
81,4,8,32,70,0.9999078341013824
82,8,4,128,40,0.9981797235023041
83,8,128,64,75,0.9997465437788019
84,32,128,128,60,1.0
85,64,128,16,65,0.9999769585253456
86,16,4,64,25,0.9998387096774193
87,16,4,128,45,0.9998156682027649
88,16,64,64,55,1.0
89,4,32,8,20,0.9999078341013824
9,4,8,128,50,0.9995852534562213
90,128,128,64,50,1.0
91,64,4,8,80,1.0
92,8,8,8,55,0.9999769585253456
93,16,16,32,85,1.0
94,32,4,128,60,0.9999539170506913
95,128,4,8,90,1.0
96,128,64,32,80,1.0
97,128,4,16,50,1.0
98,64,32,8,20,1.0
99,64,128,32,40,1.0
base_model,16,64,64,25,0.9999539170506913
